cnpj;razao_social;nome_fantasia;data_abertura;tempo_de_mercado_anos;situacao_cadastral;natureza_juridica;matriz_filial;cnae_principal;cnaes_secundarios;rossi;endereco;bairro;municipio;uf;telefone_1;telefone_2;email;capital_social;porte;Faturamento Anual;opcaoSimples;opcaoMei;socios;outrosTelefones;outrosEmails
72378110000100;CLINIFISIO LTDA;;21/06/1993;31;Ativa;Sociedade Empresária Limitada;Matriz;8650004 - Atividades de fisioterapia;;80710540;Rua Francisco Rocha, 2084;Bigorrilho;Curitiba;PR;;;;10000;Demais;acima de R$4.800.000;Não;Não;Luciana Lopes Costa|Luisa Costa Pfeilsticker;;
72321755000107;ASSOCIACAO BATISTA DE ACAO SOCIAL ABAS;;08/06/1993;31;Ativa;Associação Privada;Matriz;8550302 - Atividades de apoio à educação, exceto caixas escolares;8800600 - Serviços de assistência social sem alojamento|8650003 - Atividades de psicologia e psicanálise|8650006 - Atividades de fonoaudiologia|8650004 - Atividades de fisioterapia;81730390;Rua Professora Joanita Bernett Passos, 1511;Boqueirao;Curitiba;PR;41 30143053;;abas92@hotmail.com;0;Demais;acima de R$4.800.000;Não;Não;Meriellen Heloisa Andrade Brune;;
86888880000108;SIND TRAB GRAF JORN E REV EMP EMPR JOR REV EST PARANA;SINTRAG;11/03/1994;30;Ativa;Entidade Sindical;Matriz;9420100 - Atividades de organizações sindicais;8593700 - Ensino de idiomas|8599603 - Treinamento em informática|8650004 - Atividades de fisioterapia;80010120;Rua Dr. Muricy, 541, Andar 13 Andar Conj 1311;Centro;Curitiba;PR;41 32230019;41 996631220;osni_lima@yahoo.com.br;0;Demais;acima de R$4.800.000;Não;Não;;41 32230019,41 996631220;
73471989001671;SEST SERVICO SOCIAL DO TRANSPORTE;CURITIBA/PR - DAVID GULIN - UNIDADE B - N 13;24/07/1995;29;Ativa;Serviço Social Autônomo;Filial;8800600 - Serviços de assistência social sem alojamento;3250706 - Serviços de prótese dentária|8630504 - Atividade odontológica|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|9312300 - Clubes sociais, esportivos e similares|9313100 - Atividades de condicionamento físico|9319199 - Outras atividades esportivas não especificadas anteriormente|9329899 - Outras atividades de recreação e lazer não especificadas anteriormente;81670390;Rua Salvador Ferrante, 1440;Boqueirao;Curitiba;PR;61 33157000;;curitiba.pr@sestsenat.org.br;0;Demais;acima de R$4.800.000;Não;Não;;61 33157000;
02212180000109;SERVICO SOCIAL DA HABITACAO DO PARANA - SECOVIMED;SECOVIMED-PR;22/07/1997;27;Ativa;Associação Privada;Matriz;8800600 - Serviços de assistência social sem alojamento;8630503 - Atividade médica ambulatorial restrita a consultas|8630504 - Atividade odontológica|8640202 - Laboratórios clínicos|8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia|8640208 - Serviços de diagnóstico por registro gráfico - ecg, eeg e outros exames análogos|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia;80420120;Rua Dr. Pedrosa, 475;Centro;Curitiba;PR;41 32241655;41 32243333;assadm@secovimed-pr.com.br;0;Demais;acima de R$4.800.000;Não;Não;Carlos Ribas Tavarnaro;41 32241655,41 32243333;
02531083000170;FISIOTERAPIA SIMETRIA LTDA LTDA;FISIOTERAPIA SIMETRIA;11/05/1998;26;Ativa;Sociedade Simples Limitada;Matriz;8650004 - Atividades de fisioterapia;;80250160;Rua Brasilio Itibere, 3435;Agua Verde;Curitiba;PR;41 33433789;41 998417111;simetriafisioterapia@gmail.com;62200;Demais;acima de R$4.800.000;Não;Não;Gabriella Baggio;41 33433789,41 998417111;
78791712000325;CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA;;23/12/1999;25;Ativa;Sociedade Empresária Limitada;Filial;6463800 - Outras sociedades de participação, exceto holdings;4781400 - Comércio varejista de artigos do vestuário e acessórios|6201501 - Desenvolvimento de programas de computador sob encomenda|6203100 - Desenvolvimento e licenciamento de programas de computador não customizáveis|7490104 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários|7500100 - Atividades veterinárias|7739003 - Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes|8211300 - Serviços combinados de escritório e apoio administrativo|8230001 - Serviços de organização de feiras, congressos, exposições e festas|8531700 - Educação superior - graduação|8533300 - Educação superior - pós graduação e extensão|8541400 - Educação profissional de nível técnico|8542200 - Educação profissional de nível tecnológico|8550302 - Atividades de apoio à educação, exceto caixas escolares|8593700 - Ensino de idiomas|8599604 - Treinamento em desenvolvimento profissional e gerencial|8630503 - Atividade médica ambulatorial restrita a consultas|8630504 - Atividade odontológica|8640202 - Laboratórios clínicos|8640204 - Serviços de tomografia|8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8720401 - Atividades de centros de assistência psicossocial|9001901 - Produção teatral|9003500 - Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas|9313100 - Atividades de condicionamento físico|9602502 - Atividades de estética e outros serviços de cuidados com a beleza;81280330;Rua Prof. Pedro Viriato Parigot De Souza, 5300;Campo Comprido;Curitiba;PR;41 3173000;;fiscal.grupocruzeiro@cruzeirodosul.edu.br;108626392;Demais;acima de R$4.800.000;Não;Não;Secid - Sociedade Educacional Cidade De Sao Paulo S.A.|Cruzeiro Do Sul Educacional S.A.|Fabio Marcel Fossen|Luis Felipe Silva Bresaola|Felipe Coragem Negrao;41 3173000;
03518900000113;INSTITUTO CURITIBA DE SAUDE;INSTITUTO CURITIBA DE SAUDE - ICS;28/10/1999;25;Ativa;Serviço Social Autônomo;Matriz;6550200 - Planos de saúde;8650002 - Atividades de profissionais da nutrição|8650006 - Atividades de fonoaudiologia|8650003 - Atividades de psicologia e psicanálise|8650005 - Atividades de terapia ocupacional|8630504 - Atividade odontológica|8650004 - Atividades de fisioterapia|8630506 - Serviços de vacinação e imunização humana|8650001 - Atividades de enfermagem|8630501 - Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos|8630502 - Atividade médica ambulatorial com recursos para realização de exames complementares|8660700 - Atividades de apoio à gestão de saúde;80230110;Rua Marechal Floriano,, 1895;Reboucas;Curitiba;PR;41 3336066;;;0;Demais;acima de R$4.800.000;Não;Não;;41 3336066;
03463512000182;A. RACHID F. E CIA.;ARTHRITIS DOENCAS REUMATICAS;21/10/1999;25;Ativa;Sociedade Simples Em Nome Coletivo;Matriz;8630501 - Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;6622300 - Corretores e agentes de seguros, de planos de previdência complementar e de saúde|8650004 - Atividades de fisioterapia;80730000;Rua Padre Anchieta, 1846, 11 Andar, Sala 1107;Bigorrilho;Curitiba;PR;41 3316628;;;46790;Demais;acima de R$4.800.000;Não;Não;Acir Rachid Filho|Fernando Renato Pinheiro Rachid|Maria Luiza Amaral Rachid;41 3316628;
04110558000180;ASSOCIACAO BRASILEIRA DE ASSISTENCIA AO CIDADAO COM CANCER E AO ESPECIAL CARENTE - ABRACCE;ABRACCE;22/09/2000;24;Ativa;Associação Privada;Matriz;8800600 - Serviços de assistência social sem alojamento;8550302 - Atividades de apoio à educação, exceto caixas escolares|8592999 - Ensino de arte e cultura não especificado anteriormente|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650005 - Atividades de terapia ocupacional|8650006 - Atividades de fonoaudiologia|8690903 - Atividades de acupuntura;81070300;Rua Felinto Bento Vianna, 510;Portao;Curitiba;PR;41 35690456;;contasantacruz@hotmail.com;0;Demais;acima de R$4.800.000;Não;Não;Ilda Batista Maciel;41 35690456;
04007012000107;UNIFISIO COOPERATIVA DOS FISIOTERAPEUTAS DE CURITIBA E REGIAO METROPOLITANA;;23/08/2000;24;Ativa;Cooperativa;Matriz;8650004 - Atividades de fisioterapia;8650001 - Atividades de enfermagem|8650002 - Atividades de profissionais da nutrição|8650005 - Atividades de terapia ocupacional|8650006 - Atividades de fonoaudiologia|8650099 - Atividades de profissionais da área de saúde não especificadas anteriormente|8712300 - Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;80060140;Rua Dr. Faivre, 750, Conjuntos 405 E 406;Centro;Curitiba;PR;41 987094321;;secretaria@unifisio.coop.br;0;Demais;acima de R$4.800.000;Não;Não;Rodrigo Zeni De Lima|Edemir Effco Dias;41 987094321;
04496440000132;ASSOCIACAO PARANAENSE DOS PORTADORES DE PARKINSONISMO;PARKINSON PARANA;17/04/2001;23;Ativa;Associação Privada;Matriz;9430800 - Atividades de associações de defesa de direitos sociais;8630503 - Atividade médica ambulatorial restrita a consultas|8650001 - Atividades de enfermagem|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650005 - Atividades de terapia ocupacional|8650006 - Atividades de fonoaudiologia|8690901 - Atividades de práticas integrativas e complementares em saúde humana|8690903 - Atividades de acupuntura;80240021;Avenida Silva Jardim, 3180;Agua Verde;Curitiba;PR;41 30835256;41 30145617;diretoria@parkinsonparana.org.br;0;Demais;acima de R$4.800.000;Não;Não;Sandra Salomao Cury Riechi;;processos@supri-service.com
05051524000125;PARALELLO - FISIOTERAPIA E MEDICINA LTDA;ORTHOPEDIA - PRODUTOS MEDICOS E ORTOPEDICOS;13/05/2002;22;Ativa;Sociedade Empresária Limitada;Matriz;8650004 - Atividades de fisioterapia;4773300 - Comércio varejista de artigos médicos e ortopédicos|7739002 - Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;80510000;Rua Inacio Lustosa, 241, Apt 01 Andar Tr;Sao Francisco;Curitiba;PR;41 988240754;;paralello_1122@outlook.com;25000;Demais;acima de R$4.800.000;Não;Não;Marcos Andre Czarnik;41 988240754;
06915611000146;KLAGENBERG & CIA LTDA;;06/08/2004;20;Ativa;Sociedade Empresária Limitada;Matriz;8650006 - Atividades de fonoaudiologia;8650004 - Atividades de fisioterapia;80420130;Rua Francisco Rocha, 62, Conj 1708 Andar 17 Cond Triumph Center Batel;Batel;Curitiba;PR;41 32760080;;itamarcivi@terra.com.br;10000;Demais;acima de R$4.800.000;Sim;Não;Karlin Fabianne Klagenberg D Andrea|Ketty Francielle Klagenberg;41 32760080;
07794141000172;DRBR VIDA CORRETORA DE SEGUROS E PLANOS DE SAUDE LTDA;UP LIFE CORRETORA;02/08/2005;19;Ativa;Sociedade Empresária Limitada;Matriz;6622300 - Corretores e agentes de seguros, de planos de previdência complementar e de saúde;6511101 - Sociedade seguradora de seguros vida|7020400 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica|7119704 - Serviços de perícia técnica relacionados à segurança do trabalho|7490104 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários|7490199 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente|8211300 - Serviços combinados de escritório e apoio administrativo|8220200 - Atividades de teleatendimento|8230001 - Serviços de organização de feiras, congressos, exposições e festas|8299799 - Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente|8599604 - Treinamento em desenvolvimento profissional e gerencial|8630502 - Atividade médica ambulatorial com recursos para realização de exames complementares|8630503 - Atividade médica ambulatorial restrita a consultas|8630504 - Atividade odontológica|8630599 - Atividades de atenção ambulatorial não especificadas anteriormente|8640202 - Laboratórios clínicos|8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia|8640206 - Serviços de ressonância magnética|8640207 - Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética|8640208 - Serviços de diagnóstico por registro gráfico - ecg, eeg e outros exames análogos|8640209 - Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos|8640299 - Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente|8650001 - Atividades de enfermagem|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8650006 - Atividades de fonoaudiologia|8650099 - Atividades de profissionais da área de saúde não especificadas anteriormente|8660700 - Atividades de apoio à gestão de saúde|8690901 - Atividades de práticas integrativas e complementares em saúde humana|8690999 - Outras atividades de atenção à saúde humana não especificadas anteriormente|8712300 - Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio|8800600 - Serviços de assistência social sem alojamento;80440021;Avenida Vicente Machado, 2351;Seminario;Curitiba;PR;41 33431000;;diretoria@vidaemergenciasmedicas.com.br;100000;Demais;acima de R$4.800.000;Não;Não;Carlos Luiz Brandini;41 33431000;
08568787000102;FRAR. ACADEMIA DE FUTEBOL LTDA;;07/12/2006;18;Ativa;Sociedade Empresária Limitada;Matriz;9313100 - Atividades de condicionamento físico;4729699 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente|8650004 - Atividades de fisioterapia;81570001;Avenida Senador Salgado Filho, 4680, Casa 10 Cond Saint Etienne Res;Uberaba;Curitiba;PR;41 30294551;;;80000;Demais;acima de R$4.800.000;Sim;Não;Fabio Henrique Duarte Godinho|Aline Michele Leutz Da Silva Godinho;41 30294551;
08334786000195;FISIOLABORAL FISIOTERAPIA LTDA;FISIOLABORAL;21/09/2006;18;Ativa;Sociedade Empresária Limitada;Matriz;8650004 - Atividades de fisioterapia;8650005 - Atividades de terapia ocupacional;80810310;Rua Carlos Razera, 170, Casa;Vista Alegre;Curitiba;PR;41 991425048;41 33356531;fisiolaboral@fisiolaboral.com.br;5000;Demais;acima de R$4.800.000;Não;Não;Gustavo Tiago Chichof|Marcos Jose Chichof|Eliane Mara De Souza Chichof;41 991425048,41 33356531;
07923678000195;GARDEN OURO - SERVICOS MEDICOS S/S LTDA;CLINICA GARDEN OURO;31/03/2006;18;Ativa;Sociedade Simples Limitada;Matriz;8630503 - Atividade médica ambulatorial restrita a consultas;8630506 - Serviços de vacinação e imunização humana|8650002 - Atividades de profissionais da nutrição|8650003 - Atividades de psicologia e psicanálise|8650004 - Atividades de fisioterapia|8690903 - Atividades de acupuntura|9313100 - Atividades de condicionamento físico;80230010;Avenida Sete De Setembro, 3497;Reboucas;Curitiba;PR;41 33239415;;adm.gardenouro@gmail.com;6000;Demais;acima de R$4.800.000;Sim;Não;Daianny Patricya Duncker Gluchak|Alessandra Dos Santos Bitencourt Schambeck|Franciele Fernandes Santana Queiroz|Larissa Martins Lopes|Thais Alves Matheus|Samanta Forti|Fabiana Silvestre Do Canto|Rafael Felippe Follador|Sarita Evelyn Silva|Joice Bortoletto Buffon|Micheli Cristine Dos Santos Ferreira|Ana Batschauer Bessa|Caroline Costa Giocondo|Luiz Fernando Hofmann|Maria Priscila Fraga|Talita Catherine Zuffo Razera|Izabelle Caroline Conor Bordori Valverde|Claudia Gill Bastos De Oliveira|Aline Cristina Feltz Pajewsky|Franciele Chin Wei Ta|Mozarth Matheus Silvino Do Nascimento;41 33239415;
07844212000102;UNIAO PARANAENSE DE APOIO A CRIANCA COM CANCER E PESSOA COM DEFICIENCIA - UNIPACC;UNIPACC;24/01/2006;18;Ativa;Associação Privada;Matriz;9430800 - Atividades de associações de defesa de direitos sociais;8650004 - Atividades de fisioterapia|8690999 - Outras atividades de atenção à saúde humana não especificadas anteriormente|9493600 - Atividades de organizações associativas ligadas à cultura e à arte|9499500 - Atividades associativas não especificadas anteriormente;81030020;Rua Major Vicente De Castro, 1441;Fanny;Curitiba;PR;41 32732163;;formatoparana@gmail.com;0;Demais;acima de R$4.800.000;Não;Não;Anete Vaz De Siqueira;41 32732163;
10423845000143;CONSULTORIO MEDICO DRA JANAINA WEINGARTNER LTDA;CLINI FLUSS;18/09/2008;16;Ativa;Sociedade Empresária Limitada;Matriz;8630503 - Atividade médica ambulatorial restrita a consultas;8650004 - Atividades de fisioterapia|8650003 - Atividades de psicologia e psicanálise|8630501 - Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos|8630502 - Atividade médica ambulatorial com recursos para realização de exames complementares;80620010;Avenida Republica Argentina, 1228, Sala 2207 E 2208;Vila Izabel;Curitiba;PR;41 30797973;41 995507973;drajanainaw@gmail.com;1000;Demais;acima de R$4.800.000;Não;Não;Janaina Weingartner;;
